Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,Mineral,Comment
5 / 1 . ,0.0070,65.9987,0.1263,18.5901,,0.0000,0.0146,0.8123,0.0000,0.4632,,2.7220,12.2766,0.0216,101.0323,Invalid,CR32_2 PT1
6 / 1 . ,0.0130,66.5596,0.1081,16.9160,,0.0073,0.0019,0.5738,0.0163,0.7446,,1.9364,12.5926,0.0084,99.4780,Kspar?,CR32_2 PT2
7 / 1 . ,0.0088,75.4499,0.1356,12.8229,,0.0297,0.0302,0.4662,0.0030,0.8104,,1.5857,8.3809,0.0000,99.7232,Glass,CR32_2 PT3
8 / 1 . ,0.0065,66.0244,0.0792,18.0769,,0.0164,0.0089,0.3892,0.0393,0.4200,,1.8428,13.5994,0.0074,100.5104,Kspar?,CR32_2 PT4
9 / 1 . ,0.0366,56.4852,0.1981,26.3267,,0.0000,0.0628,9.4867,0.0279,1.2407,,5.5155,0.6808,0.0057,100.0668,Plagiolase,CR32_2 PT5
10 / 1 . ,0.0245,95.1179,0.2087,2.1934,,0.0224,0.0293,0.3309,0.0031,0.4354,,0.6309,0.0541,0.0045,99.0550,Quartz,CR32_2 PT6
11 / 1 . ,0.0198,92.3044,0.3764,3.9240,,0.0376,0.0110,0.6541,0.0150,0.5537,,0.8607,0.1908,0.0055,98.9529,Quartz,CR32_2 PT7
12 / 1 . ,0.1450,87.1742,0.2515,5.9982,,0.0000,0.0198,0.6936,0.0000,0.5231,,1.1726,2.3362,0.0033,98.3177,Glass,CR32_2 PT8
13 / 1 . ,1.4429,81.7661,0.1468,7.0822,,0.0000,0.0301,2.3362,0.0149,0.4864,,0.8340,2.8587,0.0239,97.0223,Glass,CR32_2 PT9
14 / 1 . ,0.0319,54.6895,0.1930,26.6749,,0.0019,0.0973,10.3674,0.0000,1.2156,,5.2812,0.3852,0.0065,98.9445,Plagiolase,CR32_2 PT10
15 / 1 . ,0.0236,95.2887,0.1764,2.5817,,0.0037,0.0000,0.4246,0.0091,0.3189,,0.6462,0.1962,0.0033,99.6723,Quartz,CR32_2 PT11
16 / 1 . ,0.0000,79.0091,0.2652,10.8676,,0.0191,0.0000,0.5576,0.0000,0.6348,,1.6207,7.0552,0.0000,100.0292,Glass,CR32_2 PT12
17 / 1 . ,0.0352,56.4178,0.2251,26.8276,,0.0225,0.1001,9.6937,0.0016,1.2680,,5.6644,0.4289,0.0000,100.6847,Plagiolase,CR32_2 PT13
18 / 1 . ,0.0930,82.8128,0.2138,8.3063,,0.0075,0.0067,1.3015,0.0350,0.6298,,1.7986,2.0318,0.0011,97.2378,Glass,CR32_2 PT14
19 / 1 . ,0.0000,92.4778,0.1184,3.5147,,0.0327,0.0000,0.2341,0.0000,0.3063,,0.9866,0.5462,0.0034,98.2203,Quartz,CR32_1 PT4
20 / 1 . ,0.0462,60.9564,0.1429,24.0454,,0.0166,0.0088,6.1716,0.0064,0.7097,,6.9252,1.2778,0.0207,100.3277,Plagiolase,CR32_1 PT8
21 / 1 . ,0.0304,65.6572,0.1245,22.0411,,0.0093,0.0157,4.1078,0.0000,0.5494,,7.2940,2.3047,0.0044,102.1385,Invalid,CR32_1 PT9
22 / 1 . ,0.0235,77.5490,0.1830,12.4129,,0.0286,0.0122,0.5164,0.0008,0.5231,,2.0675,7.3645,0.0011,100.6825,Glass,CR32_1 PT10
23 / 1 . ,0.0241,56.9610,0.1032,26.1528,,0.0194,0.0603,8.8316,0.0000,1.0005,,6.1418,0.5235,0.0065,99.8247,Plagiolase,CR32_1 PT11
24 / 1 . ,0.0338,75.9908,0.1435,12.8693,,0.0000,0.0086,0.4599,0.0000,0.5342,,2.2933,7.7052,0.0000,100.0384,Glass,CR32_1 PT12
25 / 1 . ,0.3401,67.8801,0.3840,16.7540,,0.0315,0.0526,2.2955,0.0053,1.7423,,2.6283,0.6467,0.0144,92.7748,Invalid,CR32_1 PT13
32 / 1 . ,0.0059,52.3777,0.0935,28.696,,0.0037,0.1744,12.2853,0.0263,1.0169,,4.4511,0.2202,0.0107,99.3618,Plagioclase,CR41_2PT2
33 / 1 . ,0.0019,51.3083,0.7673,1.855,,0.0374,18.9369,12.0032,0.3644,13.1522,,0.1584,0.0469,0.0189,98.6509,Pyroxene,CR41_2PT3
34 / 1 . ,0.3268,52.8702,1.3634,4.9676,,0.058,12.1471,10.0288,0.3163,16.5965,,0.603,1.4986,0.0021,100.7785,Pyroxene,CR41_2PT4
17 / 1 . ,0.4051,60.7624,0.2686,21.4211,,0.0202,1.444,7.6314,0.0556,1.827,,4.8526,0.5323,0,99.2203,Plagioclase,CR42_1 PT1
