Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,O=S,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
12 / 1 . ,0.1592,59.0461,0.8358,24.4448,,0.0119,0.5383,9.1624,0.0135,3.3331,,4.9626,1.1723,0.0128,103.6929,0.0032,103.6897,-702,-21685,217, , ,CR2B1_2 PT4,9213.57,12.16,12,1/13/2020 13:07,Glass (on the basis of 24 O)
13 / 1 . ,0.4622,52.3544,1.9919,14.5638,,0.0135,3.1462,6.5875,0.141,8.0401,,3.1028,1.8278,0.0127,92.244,0.0032,92.2408,-946,-21611,217, , ,CR2B1_2 PT5,9388.5,11.4373,13,1/13/2020 13:20,Glass (on the basis of 24 O)
14 / 1 . ,0.1108,58.3625,0.3385,27.0158,,0.0239,0.2963,9.7757,0.0241,1.539,,5.3242,0.5628,0.0097,103.3833,0.0024,103.3809,-797,-21652,217, , ,CR2B1_2 PT6,9284.99,11.8915,14,1/13/2020 13:30,Glass (on the basis of 24 O)
15 / 1 . ,0.7224,47.5961,3.1059,12.0631,,0,2.3751,4.1115,0.1461,10.9691,,3.0362,2.9145,0.019,87.0589,0.0047,87.0542,-634,-21448,231, , ,CR2B1_2 PT7,9398.39,11.2007,15,1/13/2020 15:25,Glass (on the basis of 24 O)
16 / 1 . ,0.5981,54.1172,2.7087,12.2647,,0.0009,1.438,4.5669,0.1545,9.7022,,2.998,2.5702,0.0067,91.1261,0.0017,91.1244,-875,-21359,231, , ,CR2B1_2 PT8,9582.21,11.4842,16,1/13/2020 15:46,Glass (on the basis of 24 O)
17 / 1 . ,0.712,59.7501,3.3058,12.3464,,0.0192,1.9501,4.7207,0.145,11.7141,,3.5835,2.7448,0.027,101.0188,0.0067,101.012,-919,-21445,227, , ,CR2B1_2 PT9,9524.5,12.8278,17,1/14/2020 8:04,Glass (on the basis of 24 O)
21 / 1 . ,0.7617,60.7018,3.0198,13.1119,,0.0221,1.4957,4.5482,0.128,9.7952,,3.4844,2.2992,0.0052,99.3733,0.0013,99.372,-6811,-30388,346, , ,CR2B1_3 PT1,10138.46,12.3798,21,1/14/2020 8:57,Glass (on the basis of 24 O)
30 / 1 . ,,1.2639,16.0738,1.6575,0.5537,0.4576,1.435,0.439,0.3198,67.7893,0.1172,,,,90.1069,0,90.1069,-6701,-30444,346, , ,CR2B1_3 PT10,10031.02,18.3633,30,1/14/2020 10:34,Spinel (on the basis of 4 O)
22 / 1 . ,0.7545,60.22,3.0486,12.6807,,0,1.8031,4.9992,0.1497,11.185,,3.5157,2.3466,0.0262,100.7291,0.0065,100.7226,-6709,-30335,346, , ,CR2B1_3 PT2,10034.5,12.7096,22,1/14/2020 9:06,Glass (on the basis of 24 O)
23 / 1 . ,0.7737,61.1413,2.9679,13.1309,,0,1.8205,5.0227,0.1355,10.4857,,3.3331,2.188,0.0011,101.0003,0.0003,101.0001,-6529,-30435,346, , ,CR2B1_3 PT3,9858.79,12.6459,23,1/14/2020 9:18,Glass (on the basis of 24 O)
24 / 1 . ,0.7256,60.0098,3.0625,13.3391,,0.0264,2.0175,4.6121,0.1613,11.1306,,3.9547,2.2563,0.0147,101.3105,0.0037,101.3068,-6976,-30477,346, , ,CR2B1_3 PT4,10307.29,12.7409,24,1/14/2020 9:28,Glass (on the basis of 24 O)
25 / 1 . ,0.6338,63.5271,2.6449,15.7576,,0.0276,2.0503,5.4184,0.1494,11.2441,,3.2403,3.4485,0.0296,108.1716,0.0074,108.1642,-6826,-30263,346, , ,CR2B1_3 PT5,10149.12,13.5932,25,1/14/2020 9:38,Glass (on the basis of 24 O)
26 / 1 . ,0.1885,58.3766,0.6992,23.9843,,0.0129,0.439,8.8259,0.0362,2.3811,,5.0569,0.9628,0.0076,100.971,0.0019,100.9691,-6825,-30272,346, , ,CR2B1_3 PT6,10148.38,11.7219,26,1/14/2020 9:47,Glass (on the basis of 24 O)
27 / 1 . ,0.698,60.1414,2.7366,13.1836,,0,1.9968,4.9762,0.1509,9.3859,,3.6472,2.261,0,99.1775,0,99.1775,-6616,-30272,346, , ,CR2B1_3 PT7,9939.48,12.3153,27,1/14/2020 10:00,Glass (on the basis of 24 O)
28 / 1 . ,0.7621,60.2623,3.2828,13.1619,,0,1.8003,4.6949,0.1375,11.0709,,3.8518,2.3181,0.0138,101.3564,0.0034,101.3529,-6618,-30517,346, , ,CR2B1_3 PT8,9951.83,12.7503,28,1/14/2020 10:13,Glass (on the basis of 24 O)
29 / 1 . ,,0.546,16.6327,3.7748,0.5572,0.587,4.1097,0.1703,0.3209,67.8398,0.0909,,,,94.6293,0,94.6293,-6689,-30444,346, , ,CR2B1_3 PT9,10019.04,18.8665,29,1/14/2020 10:26,Spinel (on the basis of 4 O)
1 / 1 . ,0.7362,57.7298,3.1736,12.9186,,0,1.5239,4.9938,0.1161,10.5675,,3.4959,2.7458,0.0191,98.0202,0.0048,98.0154,10731,-34608,311, , ,CR2B2_1 PT1,0,12.3793,1,1/31/2020 14:05,Glass (on the basis of 24 O)
2 / 1 . ,0.7346,59.6763,2.8445,13.8442,,0,1.7003,4.2623,0.1514,10.23,,3.859,2.4083,0.0021,99.7133,0.0005,99.7128,10737,-34683,311, , ,CR2B2_1 PT2,75.24,12.4414,2,1/31/2020 14:13,Glass (on the basis of 24 O)
3 / 1 . ,0.6212,59.4368,2.7945,13.9878,,0.022,1.8706,5.4383,0.1282,9.8011,,3.9742,2.4321,0.025,100.5319,0.0062,100.5257,10550,-34663,311, , ,CR2B2_1 PT3,189.17,12.5478,3,1/31/2020 14:22,Glass (on the basis of 24 O)
4 / 1 . ,0.6696,58.6243,3.0886,12.332,,0.0198,1.6504,5.0257,0.1488,10.531,,3.4166,2.8574,0.0078,98.3719,0.002,98.3699,10569,-34554,311, , ,CR2B2_1 PT4,170.76,12.4235,4,1/31/2020 14:32,Glass (on the basis of 24 O)
5 / 1 . ,0.7236,60.1399,2.5847,14.0617,,0.0191,1.1579,4.6032,0.1151,8.0968,,3.9376,2.6505,0.0102,98.1001,0.0025,98.0976,10612,-34563,311, , ,CR2B2_1 PT5,127.22,12.0491,5,1/31/2020 14:41,Glass (on the basis of 24 O)
6 / 1 . ,0.6724,57.7898,2.8523,13.0697,,0.0186,2.3789,5.3503,0.204,11.3831,,3.8183,2.4616,0,99.9991,0,99.9991,10738,-34547,311, , ,CR2B2_1 PT6,61.4,12.6732,6,1/31/2020 14:51,Glass (on the basis of 24 O)
7 / 1 . ,0.8123,60.0313,3.7185,11.3769,,0,1.3802,3.546,0.1685,11.3018,,2.3407,3.0922,0.0124,97.7807,0.0031,97.7776,10722,-20965,211, , ,CR2B2_2 PT1,13643.37,12.418,7,1/31/2020 15:12,Glass (on the basis of 24 O)
8 / 1 . ,0.7763,59.435,3.4883,12.4029,,0.0255,1.2574,4.0379,0.1199,11.0804,,3.229,2.7911,0.0011,98.6447,0.0003,98.6445,10670,-20974,211, , ,CR2B2_2 PT2,13634.5,12.4755,8,1/31/2020 15:22,Glass (on the basis of 24 O)
9 / 1 . ,0.7017,60.1056,2.6701,14.0463,,0.0088,1.3377,4.6032,0.1259,9.3045,,3.6931,2.3903,0,98.9872,0,98.9872,10623,-21001,211, , ,CR2B2_2 PT3,13607.8,12.2671,9,1/31/2020 15:31,Glass (on the basis of 24 O)
10 / 1 . ,0.7381,63.5232,2.8279,11.8852,,0.0029,0.5174,2.4982,0.1196,8.784,,1.7786,4.799,0.0113,97.4854,0.0028,97.4826,10657,-20922,211, , ,CR2B2_2 PT4,13686.57,12.1053,10,1/31/2020 15:41,Glass (on the basis of 24 O)
11 / 1 . ,0.8213,60.4536,3.2339,13.9819,,0,1.3071,4.2022,0.1384,9.8631,,3.6924,2.4829,0,100.1769,0,100.1769,10766,-21059,211, , ,CR2B2_2 PT5,13549.41,12.4714,11,1/31/2020 15:49,Glass (on the basis of 24 O)
12 / 1 . ,0.8285,58.4283,3.2542,13.0602,,0.0066,1.3088,4.8336,0.1614,10.1953,,3.5529,2.34,0.0247,97.9945,0.0062,97.9884,10538,-20911,211, , ,CR2B2_2 PT6,13698.72,12.3116,12,1/31/2020 15:59,Glass (on the basis of 24 O)
37 / 1 . ,0.4755,56.7267,0.6237,19.1807,,0.0055,0.8154,6.5688,0.0518,3.3569,,4.3218,1.7183,0.0108,93.8558,0.0027,93.8532,2013,-32749,275, , ,CR31_1 PT1,3067.55,10.9879,37,1/14/2020 14:50,Glass (on the basis of 24 O)
46 / 1 . ,0,90.2547,0.1224,4.3046,,0,0,0.1884,0.0084,0.3833,,0.9838,1.9295,0.0022,98.1774,0.0006,98.1768,2153,-32752,285, , ,CR31_1 PT10,3013.19,10.7731,46,1/14/2020 16:43,Glass (on the basis of 24 O)
38 / 1 . ,0,79.9717,0.2897,10.6478,,0.0278,0.0273,0.4627,0.0061,0.9077,,2.002,5.6821,0.011,100.0358,0.0027,100.0331,2098,-32711,275, , ,CR31_1 PT2,2997.6,11.2855,38,1/14/2020 15:03,Glass (on the basis of 24 O)
39 / 1 . ,0.0215,85.9589,0.2385,4.3879,,0.0177,0.257,0.3526,0,0.7263,,0.9895,0.1086,0.0358,93.0942,0.0089,93.0852,1758,-32768,275, , ,CR31_1 PT3,3201.06,10.1699,39,1/14/2020 15:14,Glass (on the basis of 24 O)
40 / 1 . ,0.0379,75.043,0.2063,14.1897,,0,0.0122,0.9723,0.0257,0.6757,,4.0699,5.7335,0,100.9661,0,100.9661,1823,-32857,285, , ,CR31_1 PT4,3248.42,11.3695,40,1/14/2020 15:26,Glass (on the basis of 24 O)
41 / 1 . ,0.0464,67.6881,1.633,8.8539,,0.0065,0.0133,1.5114,0.0333,1.3959,,2.1853,1.0657,0.0452,84.478,0.0113,84.4667,2025,-32673,285, , ,CR31_1 PT5,2993.58,9.5093,41,1/14/2020 15:45,Glass (on the basis of 24 O)
42 / 1 . ,0.0226,54.5116,0.188,27.7594,,0.0241,0.0632,10.7108,0.0038,1.0461,,5.0681,0.396,0.0183,99.8121,0.0046,99.8075,1741,-32820,285, , ,CR31_1 PT6,3254.58,11.4849,42,1/14/2020 15:56,Glass (on the basis of 24 O)
43 / 1 . ,0.0242,59.8624,0.1523,22.6659,,0.0009,0.0285,5.8903,0.0174,0.6504,,6.4846,1.3976,0.0239,97.1982,0.006,97.1923,1788,-32868,285, , ,CR31_1 PT7,3274.4,10.9411,43,1/14/2020 16:11,Glass (on the basis of 24 O)
44 / 1 . ,0.0425,56.632,0.1922,28.3412,,0.0148,0.0765,10.0729,0.0173,1.2025,,6.081,0.5083,0,103.1811,0,103.1811,1862,-32877,285, , ,CR31_1 PT8,3248.5,11.8288,44,1/14/2020 16:21,Glass (on the basis of 24 O)
45 / 1 . ,0.1234,70.4474,0.2895,14.696,,0.0165,0.2875,1.8595,0.0405,1.4299,,3.7339,4.5063,0.0022,97.4327,0.0005,97.4321,2137,-32707,285, , ,CR31_1 PT9,2978.07,11.0557,45,1/14/2020 16:32,Glass (on the basis of 24 O)
24 / 1 . ,0.0316,59.5039,0.128,26.8019,,0,0.0601,8.5784,0.004,0.9325,,5.9478,0.9836,0.0011,102.9728,0.0003,102.9725,-2392,27516,233, , ,CR31_2 PT1,55589.36,11.7162,24,1/24/2020 8:28,Glass (on the basis of 24 O)
25 / 1 . ,0.0189,53.4558,1.0289,2.4227,,0,22.5556,4.3537,0.4082,18.0719,,0.1398,0.0845,0.0275,102.5675,0.0069,102.5607,-2237,27471,233, , ,CR31_2 PT2,55531.84,13.3682,25,1/24/2020 8:41,Glass (on the basis of 24 O)
26 / 1 . ,1.4766,56.033,1.379,7.3579,,0.0028,7.2329,5.2584,0.495,19.2974,,1.9109,0.8063,0.0145,101.2646,0.0036,101.261,10119,29026,239, , ,CR31_3 PT1,57451.53,13.5364,26,1/24/2020 9:06,Glass (on the basis of 24 O)
35 / 1 . ,0.0791,55.6958,0.2341,26.8088,,0.0236,0.1705,10.0082,0.0111,1.2778,,5.496,0.4986,0.0085,100.3121,0.0021,100.3099,10018,28944,239, , ,CR31_3 PT10,57356.51,11.5323,35,1/24/2020 11:46,Glass (on the basis of 24 O)
27 / 1 . ,0.007,57.1829,0.1175,27.0873,,0.0117,0.0862,9.8547,0.012,1.0252,,6.1221,0.5748,0,102.0815,0,102.0815,9970,29009,239, , ,CR31_3 PT2,57414.41,11.679,27,1/24/2020 9:17,Glass (on the basis of 24 O)
28 / 1 . ,0.098,58.5754,6.8186,13.8059,,0,0.9052,2.0271,0.0763,12.0614,,4.1816,3.1905,0.0145,101.7544,0.0036,101.7507,10055,28999,239, , ,CR31_3 PT3,57416.03,13.0026,28,1/24/2020 9:27,Glass (on the basis of 24 O)
29 / 1 . ,14.4082,48.987,0.3167,11.2627,,0.031,0.0565,18.2934,0.0148,0.858,,2.0305,4.7676,0.0114,101.0377,0.0028,101.0348,10022,28996,239, , ,CR31_3 PT4,57408.57,12.3988,29,1/24/2020 9:36,Glass (on the basis of 24 O)
30 / 1 . ,0.282,67.5876,0.1375,17.3706,,0,0,0.9898,0.0064,0.4415,,3.6795,9.4476,0,99.9425,0,99.9425,9943,28989,239, , ,CR31_3 PT5,57390.96,11.4591,30,1/24/2020 9:46,Glass (on the basis of 24 O)
31 / 1 . ,0.0446,59.6707,0.1643,28.2102,,0.0136,0.1203,9.6304,0.0237,1.1248,,6.4495,0.4458,0.0202,105.9181,0.005,105.9131,9909,29069,239, , ,CR31_3 PT6,57465.68,12.0853,31,1/24/2020 9:55,Glass (on the basis of 24 O)
32 / 1 . ,0.1177,71.933,0.4296,15.7562,,0,0.0119,2.0284,0,0.7405,,4.657,4.9942,0.0109,100.6794,0.0027,100.6766,9990,29105,239, , ,CR31_3 PT7,57512.23,11.3631,32,1/24/2020 11:11,Glass (on the basis of 24 O)
33 / 1 . ,0.0066,73.7623,0.1315,15.2448,,0,0.0282,0.292,0,0.5773,,2.1591,10.1628,0.0117,102.3761,0.0029,102.3732,10020,29122,239, , ,CR31_3 PT8,57533.13,11.7496,33,1/24/2020 11:20,Glass (on the basis of 24 O)
34 / 1 . ,0.0268,59.441,0.2205,23.2943,,0.0295,0.3993,6.7915,0.0446,1.6778,,6.0077,1.0394,0.013,98.9854,0.0032,98.9822,9897,28999,239, , ,CR31_3 PT9,57394.7,11.2872,34,1/24/2020 11:30,Glass (on the basis of 24 O)
22 / 1 . ,0.0235,77.549,0.183,12.4129,,0.0286,0.0122,0.5164,0.0008,0.5231,,2.0675,7.3645,0.0011,100.6825,0.0003,100.6823,9553,-28648,298, , ,CR32_1 PT10,145.51,11.4137,22,1/24/2020 16:17,Glass (on the basis of 24 O)
23 / 1 . ,0.0241,56.961,0.1032,26.1528,,0.0194,0.0603,8.8316,0,1.0005,,6.1418,0.5235,0.0065,99.8247,0.0016,99.8231,9751,-28595,298, , ,CR32_1 PT11,82.63,11.3697,23,1/24/2020 16:28,Glass (on the basis of 24 O)
24 / 1 . ,0.0338,75.9908,0.1435,12.8693,,0,0.0086,0.4599,0,0.5342,,2.2933,7.7052,0,100.0384,0,100.0384,9516,-28566,298, , ,CR32_1 PT12,204.05,11.3521,24,1/24/2020 16:40,Glass (on the basis of 24 O)
25 / 1 . ,0.3401,67.8801,0.384,16.754,,0.0315,0.0526,2.2955,0.0053,1.7423,,2.6283,0.6467,0.0144,92.7748,0.0036,92.7712,9542,-28709,298, , ,CR32_1 PT13,164.27,10.3765,25,1/24/2020 16:51,Glass (on the basis of 24 O)
1 / 1 . ,0.0537,66.4181,0.1132,20.5822,,0,0.0306,3.3889,0,0.5845,,6.8472,3.1695,0,101.1878,0,101.1878,9698,-28658,291, , ,CR32_1 PT2,0,11.3204,1,1/24/2020 12:05,Glass (on the basis of 24 O)
2 / 1 . ,0.0275,57.6468,0.2051,26.8483,,0.0136,0.0689,9.4529,0,1.3028,,5.9773,0.6827,0.0085,102.2344,0.0021,102.2323,9763,-28644,291, , ,CR32_1 PT3,66.49,11.7129,2,1/24/2020 12:21,Glass (on the basis of 24 O)
3 / 1 . ,0,70.2912,0.1212,18.986,,0,0.0464,0.773,0,0.7459,,4.02,10.7124,0.0148,105.7109,0.0037,105.7072,9517,-28564,291, , ,CR32_1 PT4,203.95,12.1737,3,1/24/2020 12:31,Glass (on the basis of 24 O)
19 / 1 . ,0,92.4778,0.1184,3.5147,,0.0327,0,0.2341,0,0.3063,,0.9866,0.5462,0.0034,98.2203,0.0008,98.2194,9556,-28580,298, , ,CR32_1 PT4,162.16,10.6872,19,1/24/2020 15:49,Glass (on the basis of 24 O)
4 / 1 . ,0.0452,56.7175,0.1105,26.4845,,0.0018,0.0972,9.4501,0.0275,1.2095,,5.6889,0.602,0.0053,100.4399,0.0013,100.4386,9605,-28684,291, , ,CR32_1 PT5,96.57,11.5052,4,1/24/2020 12:43,Glass (on the basis of 24 O)
20 / 1 . ,0.0462,60.9564,0.1429,24.0454,,0.0166,0.0088,6.1716,0.0064,0.7097,,6.9252,1.2778,0.0207,100.3277,0.0052,100.3225,9709,-28699,298, , ,CR32_1 PT8,43.02,11.2894,20,1/24/2020 16:00,Glass (on the basis of 24 O)
21 / 1 . ,0.0304,65.6572,0.1245,22.0411,,0.0093,0.0157,4.1078,0,0.5494,,7.294,2.3047,0.0044,102.1385,0.0011,102.1374,9573,-28677,298, , ,CR32_1 PT9,126.63,11.4089,21,1/24/2020 16:09,Glass (on the basis of 24 O)
5 / 1 . ,0.007,65.9987,0.1263,18.5901,,0,0.0146,0.8123,0,0.4632,,2.722,12.2766,0.0216,101.0323,0.0054,101.027,12636,-22843,283, , ,CR32_2 PT1,6515.07,11.7508,5,1/24/2020 13:08,Glass (on the basis of 24 O)
14 / 1 . ,0.0319,54.6895,0.193,26.6749,,0.0019,0.0973,10.3674,0,1.2156,,5.2812,0.3852,0.0065,98.9445,0.0016,98.9428,12670,-22832,283, , ,CR32_2 PT10,6540.27,11.3865,14,1/24/2020 14:50,Glass (on the basis of 24 O)
15 / 1 . ,0.0236,95.2887,0.1764,2.5817,,0.0037,0,0.4246,0.0091,0.3189,,0.6462,0.1962,0.0033,99.6723,0.0008,99.6715,12702,-22755,283, , ,CR32_2 PT11,6623.41,10.8451,15,1/24/2020 15:03,Glass (on the basis of 24 O)
16 / 1 . ,0,79.0091,0.2652,10.8676,,0.0191,0,0.5576,0,0.6348,,1.6207,7.0552,0,100.0292,0,100.0292,12728,-22875,283, , ,CR32_2 PT12,6528.71,11.3422,16,1/24/2020 15:13,Glass (on the basis of 24 O)
17 / 1 . ,0.0352,56.4178,0.2251,26.8276,,0.0225,0.1001,9.6937,0.0016,1.268,,5.6644,0.4289,0,100.6847,0,100.6847,12695,-22838,283, , ,CR32_2 PT13,6546.33,11.546,17,1/24/2020 15:24,Glass (on the basis of 24 O)
18 / 1 . ,0.093,82.8128,0.2138,8.3063,,0.0075,0.0067,1.3015,0.035,0.6298,,1.7986,2.0318,0.0011,97.2378,0.0003,97.2375,12591,-22810,283, , ,CR32_2 PT14,6524.46,10.7731,18,1/24/2020 15:34,Glass (on the basis of 24 O)
6 / 1 . ,0.013,66.5596,0.1081,16.916,,0.0073,0.0019,0.5738,0.0163,0.7446,,1.9364,12.5926,0.0084,99.478,0.0021,99.4759,12736,-22877,283, , ,CR32_2 PT2,6530.66,11.6321,6,1/24/2020 13:20,Glass (on the basis of 24 O)
7 / 1 . ,0.0088,75.4499,0.1356,12.8229,,0.0297,0.0302,0.4662,0.003,0.8104,,1.5857,8.3809,0,99.7232,0,99.7232,12735,-22794,283, , ,CR32_2 PT3,6603.78,11.403,7,1/24/2020 13:33,Glass (on the basis of 24 O)
8 / 1 . ,0.0065,66.0244,0.0792,18.0769,,0.0164,0.0089,0.3892,0.0393,0.42,,1.8428,13.5994,0.0074,100.5104,0.0018,100.5085,12786,-22773,283, , ,CR32_2 PT4,6645.98,11.7605,8,1/24/2020 13:41,Glass (on the basis of 24 O)
9 / 1 . ,0.0366,56.4852,0.1981,26.3267,,0,0.0628,9.4867,0.0279,1.2407,,5.5155,0.6808,0.0057,100.0668,0.0014,100.0654,12677,-22755,283, , ,CR32_2 PT5,6612.1,11.4815,9,1/24/2020 13:57,Glass (on the basis of 24 O)
